S. No.,States/UTs *,Domestic - 2018,Foreign - 2018,Domestic - 2019,Foreign - 2019,Growth rate - DTV 2019/18,Growth rate - FTV 2019/18,latitude,longitude
1,A&N Island,498279,15242,505398,16206,1.43,6.32,11.66702557,92.73598262
2,Andhra Pradesh,194767874,281083,237051508,280356,21.71,-0.26,14.7504291,78.57002559
3,Arunachal Pradesh,512436,7653,555639,7825,8.43,2.25,27.10039878,93.61660071
4,Assam $,4710617,15592,5447805,26878,15.65,72.38,26.7499809,94.21666744
5,Bihar,33621613,1087971,33990038,1093141,1.1,0.48,25.78541445,87.4799727
6,Chandigarh,1538796,39681,1563795,44132,1.62,11.22,30.71999697,76.78000565
7,Chhattisgarh,19329501,14399,17304506,6817,-10.48,-52.66,22.09042035,82.15998734
8,Dadra & Nagar Haveli,609435,1608,618330,1666,1.46,3.61,20.26657819,73.0166178
9,Daman & Diu,898824,5694,897804,5703,-0.11,0.16,20.39737561,72.83279913
10,Delhi #,29114423,2740502,36467598,2983436,25.26,8.86,28.6699929,77.23000403
11,Goa,7081559,933841,7127287,937113,0.65,0.35,15.491997,73.81800065
12,Gujrat,54369873,513113,58864661,595607,8.27,16.08,23.21563544,72.63694055
13,Haryana,4888952,73977,4549017,48046,-6.95,-35.05,28.45000633,77.01999101
14,Himachal Pradesh,16093935,356568,16829231,382876,4.57,7.38,31.10002545,77.16659704
15,Jharkhand,35408822,175801,35580768,176043,0.49,0.14,23.80039349,86.41998572
16,J&K,17076315,139520,16163330,57920,-5.35,-58.49,34.29995933,74.46665849
17,Karnataka,214306456,543716,227934714,608754,6.36,11.96,12.57038129,76.91999711
18,Kerala,15604661,1096407,18384233,1189771,17.81,8.52,8.900372741,76.56999263
19,Lakshadweep,10435,1313,6985,820,-33.06,-37.55,10.56257331,72.63686717
20,Ladakh,NA,NA,241285,38652,NA,NA,34.15258834,77.5770495
20,Madhya Pradesh,83969799,375476,88707139,327958,5.64,-12.66,21.30039105,76.13001949
21,Maharashtra #,119191539,5078514,149294703,5528704,25.26,8.86,19.25023195,73.16017493
22,Manipur,176109,6391,167560,13608,-4.85,112.92,24.79997072,93.95001705
23,Meghalaya,1198340,18114,1245633,25813,3.95,42.5,25.57049217,91.8800142
24,Mizoram,76551,967,163762,2249,113.93,132.57,23.71039899,92.72001461
25,Nagaland,101588,5010,125949,5577,23.98,11.32,25.6669979,94.11657019
26,Odisha,15208540,110818,15307637,115128,0.65,3.89,19.82042971,85.90001746
27,Puducherry,1616660,141133,1713248,149919,5.97,6.23,11.93499371,79.83000037
28,Punjab,44595061,1200969,47385387,1101343,6.26,-8.3,31.51997398,75.98000281
29,Rajasthan,50235643,1754348,52220431,1605560,3.95,-8.48,26.44999921,74.63998124
30,Sikkim,1426127,71172,1421823,133388,-0.3,87.42,27.3333303,88.6166475
31,Tamil Nadu,385909376,6074345,494865257,6866327,28.23,13.04,12.92038576,79.15004187
32,Telengana,92878329,318154,83035894,323326,-10.6,1.63,17.385044,78.486671
33,Tripura,414388,102861,437201,154405,5.51,50.11,23.83540428,91.27999914
34,Uttar Pradesh,285079848,3780752,535855162,4745181,87.97,25.51,27.59998069,78.05000565
35,Uttarakhand,35609650,151320,37585920,152273,5.55,0.63,30.32040895,78.05000565
36,West Bengal,85657365,1617105,92366025,1656145,7.83,2.41,22.58039044,88.32994665
