state,city,popular_destination,latitude,longitude,interest,google_rating,price_fare
Delhi,Delhi,India Gate,28.612912,77.2295097,Cultural & Heritage Sites,4.6,0
Delhi,Delhi,Humayun's Tomb,28.5932848,77.2507492,Cultural & Heritage Sites,4.5,30
Delhi,Delhi,Akshardham Temple,28.6126735,77.2772619,Religious & Spiritual Pilgrimages,4.6,60
Delhi,Delhi,Waste to Wonder Park,28.5926939,77.2569715,Adventure & Outdoor Activities,4.1,50
Delhi,Delhi,Jantar Mantar,28.6270547,77.2166267,"Arts, Science & Literature Attractions",4.2,15
Delhi,Delhi,Chandni Chowk,28.6505331,77.230337,Shopping & Markets,4.2,0
Delhi,Delhi,Lotus Temple,28.553492,77.2588264,Religious & Spiritual Pilgrimages,4.5,0
Delhi,Delhi,Red Fort,28.6561592,77.2410203,Cultural & Heritage Sites,4.5,35
Delhi,Delhi,Agrasen ki Baoli,28.626062,77.2250369,Cultural & Heritage Sites,4.2,0
Delhi,Delhi,Sunder Nursery,28.5956467,77.2451691,Natural Landscapes & Wildlife,4.6,0
Delhi,Delhi,Garden of Five Senses,28.513403,77.1975227,Natural Landscapes & Wildlife,4.1,35
Delhi,Delhi,Lodhi Garden,28.5936814,77.2218338,Natural Landscapes & Wildlife,4.5,0
Delhi,Delhi,National Gallery of Modern Art,28.6101926,77.2344179,"Arts, Science & Literature Attractions",4.5,20
Delhi,Delhi,National Zoological Park ,38.9296156,77.0497844,Natural Landscapes & Wildlife,4.1,80
Delhi,Delhi,Qutub Minar,28.5244946,77.1855177,Cultural & Heritage Sites,4.5,35
Delhi,Delhi,Shopping at Sarojini Nagar,28.5740324,77.1990669,Shopping & Markets,4.2,0
Delhi,Delhi,National Science Centre,28.6127836,77.2455584,"Arts, Science & Literature Attractions",4.4,70
Maharastra,Mumbai,Marine Drive,18.9432111,72.8229983,Sightseeing & Exploration,4.5,0
Maharastra,Mumbai,Gateway of India,18.9219841,72.8346543,Cultural & Heritage Sites,4.6,0
Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,18.9269015,72.8326916,Cultural & Heritage Sites,4.6,500
Maharastra,Mumbai,NCPA Tiger safari at Borivali,19.2307329,72.856673,Adventure & Outdoor Activities,4.3,50
Maharastra,Mumbai,Shopping at Colaba Causeway,18.9246447,72.8321315,Shopping & Markets,4.2,0
Maharastra,Mumbai,"Shopping at Linking road, Bandra",19.0642357,72.8349124,Shopping & Markets,4.2,0
Maharastra,Mumbai,"Phoenix marketcity Mall, Kurla",19.0863795,72.8889774,Shopping & Markets,4.5,0
Maharastra,Mumbai,"Jio world drive mall, BKC",19.0543152,72.8515712,"Arts, Science & Literature Attractions",4.6,0
Maharastra,Mumbai,"Five gardens, Matunga",19.019747,72.854312,Sightseeing & Exploration,4.1,0
Maharastra,Mumbai,Worli seaface,19.0091432,72.8157283,Religious & Spiritual Pilgrimages,4.5,0
Maharastra,Mumbai,Siddhivinayak Temple,19.01699,72.8303997,Religious & Spiritual Pilgrimages,4.8,0
Maharastra,Mumbai,Mahalaxmi Temple,18.9773,72.8066,Religious & Spiritual Pilgrimages,4.7,0
Maharastra,Mumbai,Haji Ali Dargah,18.9828273,72.8088966,Religious & Spiritual Pilgrimages,4.4,0
Maharastra,Mumbai,Chowpatty Beach,18.9518622,72.8165592,Natural Landscapes & Wildlife,4.3,0
Maharastra,Mumbai,Essel World,19.230098,72.8013252,Adventure & Outdoor Activities,4.3,1149
Maharastra,Mumbai,Elephanta Caves,18.9633474,72.9314864,Cultural & Heritage Sites,4.3,550
Maharastra,Lonavala,Tiger’s Leap cliff top,18.6961,73.3852,Sightseeing & Exploration,4.4,0
Maharastra,Lonavala,Duke's nose trail,18.7323921,73.3678196,Adventure & Outdoor Activities,4.3,0
Maharastra,Lonavala,Adlabs Imagica,18.7679396,73.2823206,Adventure & Outdoor Activities,4,1149
Maharastra,Lonavala,Bhushi dam,18.7224264,73.3962885,Natural Landscapes & Wildlife,4,0
Maharastra,Lonavala,Sunset at Lion's point,18.608297,73.3864648,Sightseeing & Exploration,4,0
Karnataka,Bangalore,Bangalore Palace,18.699917,73.3859496,Cultural & Heritage Sites,4.2,500
Karnataka,Bangalore,Lalbagh Botanical Garden,13.0035068,77.5890953,Natural Landscapes & Wildlife,4.4,20
Karnataka,Bangalore,Cubbon Park,12.9494158,77.5846805,Natural Landscapes & Wildlife,4.4,0
Karnataka,Bangalore,Nehru Planetarium,12.9779291,77.5951549,"Arts, Science & Literature Attractions",4,35
Karnataka,Bangalore,National Gallery of Modern Art,12.5923,77.3517,Cultural & Heritage Sites,4.3,20
Karnataka,Bangalore,Church street,28.6101926,77.2344179,Sightseeing & Exploration,4.1,0
Karnataka,Bangalore,MG Road,12.582568,77.364279,Sightseeing & Exploration,4.2,0
Karnataka,Bangalore,Boating at Yediyur lake ,12.9747587,77.6093926,Adventure & Outdoor Activities,4.2,50
Karnataka,Bangalore,Vidhana Soudha,12.93349,77.5766285,Cultural & Heritage Sites,4.6,0
Karnataka,Bangalore,ISKCON Temple Bangalore,12.9796121,77.5908462,Religious & Spiritual Pilgrimages,4.6,0
Telangana,Hyderabad,Charminar,13.0098328,77.5510964,Cultural & Heritage Sites,4.5,25
Telangana,Hyderabad,Golconda Fort,17.3615636,78.4746645,Cultural & Heritage Sites,4.4,30
Telangana,Hyderabad,Hussain Sagar Lake,17.383309,78.4010528,Natural Landscapes & Wildlife,4.3,0
Telangana,Hyderabad,Ramoji Film City,17.4238798,78.4738215,"Arts, Science & Literature Attractions",4.4,1150
Telangana,Hyderabad,Salar Jung Museum,17.221713,78.284925,"Arts, Science & Literature Attractions",4.4,20
Telangana,Hyderabad,Qutb Shahi Tombs,17.3716084,78.4802439,Cultural & Heritage Sites,4.4,25
Telangana,Hyderabad,Lad Bazaar ,17.3973706,78.4001141,Shopping & Markets,4,0
Telangana,Hyderabad,Birla Mandir,17.3628791,78.4741288,Religious & Spiritual Pilgrimages,4.7,0
Telangana,Hyderabad,Chowmahalla Palace,17.212781,78.281814,Cultural & Heritage Sites,4.4,80
Telangana,Hyderabad,Nehru Zoological Park,17.3578233,78.4716897,Natural Landscapes & Wildlife,4.2,50
Telangana,Hyderabad,Infinite adventure club,17.3483047,78.4425108,Adventure & Outdoor Activities,4.4,1000
Telangana,Hyderabad,Lumbini Park,17.4458759,78.4186335,Natural Landscapes & Wildlife,4.1,20
West Bengal,Kolkata,Victoria Memorial,17.4096811,78.4724344,Cultural & Heritage Sites,4.6,30
West Bengal,Kolkata,Howrah Bridge,22.5448082,88.3425578,Cultural & Heritage Sites,4.6,0
West Bengal,Kolkata,Indian Museum,22.5851433,88.3468005,"Arts, Science & Literature Attractions",4.6,50
West Bengal,Kolkata,Ganga aarti,22.5578858,88.3511268,Religious & Spiritual Pilgrimages,4.6,0
West Bengal,Kolkata,Birla Planetarium,27.40364009,83.00912405,"Arts, Science & Literature Attractions",4.4,100
West Bengal,Kolkata,St.Pauls Cathedral,22.5455141,88.3473163,Religious & Spiritual Pilgrimages,4.2,0
West Bengal,Kolkata,Tiretti Bazaar,22.57285,88.356,Shopping & Markets,4.1,0
West Bengal,Kolkata,Princep Ghat,22.5739086,88.3555988,Cultural & Heritage Sites,4.3,0
West Bengal,Kolkata,Kumartali potter's quarter,22.5552828,88.3311699,"Arts, Science & Literature Attractions",4.4,0
West Bengal,Kolkata,Shopping at Chamba lama,22.6000017,88.3612679,Shopping & Markets,4.3,0
West Bengal,Kolkata,Burra Bazaar,22.5599918,88.3531374,Shopping & Markets,4,0
West Bengal,Kolkata,Dakshineswar Kali Temple,22.5817406,88.3543972,Religious & Spiritual Pilgrimages,4.7,0
West Bengal,Kolkata,Kalighat Kali Temple,22.6549087,88.3575307,Religious & Spiritual Pilgrimages,4.4,0
West Bengal,Kolkata,Eden Gardens,22.5202798,88.3420877,Sports & Recreation,4.1,2500
West Bengal,Kolkata,Alipore Zoological Gardens,22.5646081,88.3432645,Natural Landscapes & Wildlife,4.3,25
West Bengal,Kolkata,Science City Kolkata,22.5370343,88.3316697,"Arts, Science & Literature Attractions",4.4,60
West Bengal,Kolkata,Belur Math,22.5401381,88.3960564,Religious & Spiritual Pilgrimages,4.7,0
West Bengal,Kolkata,Marble Palace,22.6326565,88.3563815,Cultural & Heritage Sites,4.4,0
Goa,Goa,Basilica of Bom Jesus,15.5008,73.9114,Religious & Spiritual Pilgrimages,4.5,0
Goa,Goa,Fort Aguada,15.5008238,73.9114061,Cultural & Heritage Sites,4.2,0
Goa,Goa,Dudhsagar Falls,15.4922519,73.7737462,Natural Landscapes & Wildlife,4.6,500
Goa,Goa,Anjuna Beach,15.3144375,74.3143073,Adventure & Outdoor Activities,4.4,0
Goa,Goa,Chapora Fort,15.5733497,73.7409781,Cultural & Heritage Sites,4.2,0
Goa,Goa,Se Cathedral,15.6046375,73.7369631,Religious & Spiritual Pilgrimages,4.5,0
Goa,Goa,Baga Beach,15.5038769,73.9121918,Natural Landscapes & Wildlife,4.5,0
Goa,Goa,Candolim Beach,15.5552787,73.7517307,Natural Landscapes & Wildlife,4.4,0
Goa,Panjim,Fontainhas colony,15.5179749,73.7626122,Cultural & Heritage Sites,4.2,0
Goa,Panjim,Shopping at M.G.Road,15.4941033,73.8300775,Shopping & Markets,4.1,0
Goa,Panjim,Gallery Gitanjali,12.9747587,77.6093926,"Arts, Science & Literature Attractions",4.5,0
Goa,Panjim,Our Lady of Immaculate Conception Church,15.4986,73.8294,Religious & Spiritual Pilgrimages,4.4,0
Goa,Goa,Old Goa,15.5014,73.9135,Cultural & Heritage Sites,4.5,0
Goa,Goa,Arambol Beach,15.501984,73.9100068,Natural Landscapes & Wildlife,4.6,0
Goa,Goa,Palolem Beach,15.6846886,73.7032836,Natural Landscapes & Wildlife,4.6,0
Goa,Goa,Colva Beach,15.0099648,74.0232186,Natural Landscapes & Wildlife,4.3,0
Goa,Goa,Miramar Beach,15.2805316,73.9119945,Natural Landscapes & Wildlife,4.2,0
Goa,Goa,Dr. Salim Ali Bird Santuary,15.513,73.8704,Natural Landscapes & Wildlife,3.9,10
Gujrat,Ahemdabad,Statue of Unity,10.1335031,76.6860267,Cultural & Heritage Sites,4.6,120
Gujrat,Ahemdabad,Jhulta Minara,21.8380184,73.7190728,Cultural & Heritage Sites,4.1,0
Gujrat,Ahemdabad,Auto World Vintage Car Museum,23.0236789,72.5998114,"Arts, Science & Literature Attractions",4.4,100
Gujarat,Ahmedabad,Sabarmati Ashram,23.0572846,72.6872617,Cultural & Heritage Sites,4.6,0
Gujrat,Dwarka,Dwarka Beach & Lighthouse,23.0358621,72.5701089,Natural Landscapes & Wildlife,4.6,0
Gujrat,Dwarka,Rukmini Devi Mandir,22.2441975,68.9684562,Religious & Spiritual Pilgrimages,4.6,0
Gujrat,Dwarka,Shri Nageshwar Jyotirling,22.2573143,68.9644191,Religious & Spiritual Pilgrimages,4.7,0
Gujarat,Dwarka,Dwarkadhish Temple,22.3359636,69.0870088,Religious & Spiritual Pilgrimages,4.7,0
Gujrat,Junagadh,Mahabat Maqbara Palace,22.2371082,68.9676255,Cultural & Heritage Sites,4.4,0
Gujrat,Junagadh,Uparkot Fort,21.5275733,70.4599927,Cultural & Heritage Sites,4.3,5
Gujrat,Junagadh,Sakkarbaug Zoological Park,21.5247475,70.4700532,Natural Landscapes & Wildlife,4.3,20
Gujarat,Junagadh,Gir National Park,21.5418892,70.4646275,Natural Landscapes & Wildlife,4.5,3500
Gujrat,Bhuj,Aina Mahal Palace,21.0842848,70.7944414,Cultural & Heritage Sites,4.2,20
Gujrat,Bhuj,Bhuj Mandir,23.2553595,69.6685614,Religious & Spiritual Pilgrimages,4.7,0
Gujrat,Bhuj,Chhatardi Bhuj,23.2419997,69.6669324,Cultural & Heritage Sites,4.4,0
Gujrat,Bhuj,Vande Mataram Memorial,23.2457731,69.6581727,Cultural & Heritage Sites,4.6,100
